question,answer
Who are NOVARC CORP and NOVA CONSULTING CORP?,"NOVARC CORP specializes in commercial real estate, warehouse projects, and applied financial solutions. NOVA CONSULTING CORP focuses on business consulting, market strategies, and professional training. Both companies are partners within the same ecosystem, operating under the website novarccorp.com."
Are NOVARC/NOVA a bank or investment company?,"No. We are not a bank, broker-dealer, or investment adviser."
What is NOVARC's official legal address?,"NOVARC CORP – 800 Wilcrest Dr, Suite 104, Houston, TX 77042, USA. NOVA CONSULTING CORP – 800 Wilcrest Dr, Suite 104, Houston, TX 77042, USA."
What services does NOVARC provide?,"Commercial real estate & warehouse projects. Applied financial solutions. Project operation and revenue-sharing partnerships."
What services does NOVA CONSULTING provide?,"Business consulting (company formation, go-to-market, strategy). Professional training and coaching in finance and business. Corporate services for L1/Startup Visa (not immigration legal services)."
What payment methods do you accept?,"International: Stripe, Visa/Mastercard, Wise, Payoneer. U.S.: Stripe, Visa/Mastercard, Wise, Payoneer, ACH Transfer, Wire Transfer."
What currency and fees apply?,"All transactions are processed in USD. Foreign exchange and processing fees may apply depending on your payment provider."
What is your refund policy?,"Clients may request a refund at any time during the service/course period. However, a 20% processing fee will be applied, and all Bonuses received will be deducted. Refund requests must be submitted via NOVARC CORP official email: support@novarccorp.com. Processing time: 15–30 business days. Formula: Refund = Amount Paid – (20% fee) – (Bonuses received). Once processed, all account access and benefits will be terminated."
Are NOVARC/NOVA products considered “securities”?,"No. These are civil/commercial agreements, not securities. Client benefits depend on actual project performance. No guaranteed returns."
What is KYC/AML verification?,"Certain services, especially international payments and payouts, require KYC (Know Your Customer) and AML (Anti-Money Laundering) verification. Clients may be asked to provide valid identification, proof of funds, and additional supporting documents."
What tax documentation is required?,"U.S. Clients: IRS Form 1099-NEC if earnings exceed thresholds. International Clients: Form W-8BEN (individuals) or W-8BEN-E (entities) required by IRS. Clients are responsible for local tax compliance."
How does the Affiliate Program work?,"Multi-tier commission: 3% direct sales + 1% on each of the next two tiers."
What is the Creator Portal?,"Creators can register, submit campaign links, track results transparently, and receive payouts via Stripe, Wise, or Payoneer."
How does A1 Learning Program work?,"Clients access video lessons, documents, and quizzes. Earn Monthly Learning Bonuses and potential year-end refund eligibility if requirements are met."
What are the A1 levels?,"Basic, Plus, Premium, Elite – each offers different materials, coaching, dashboards, and bonus structures."
What is B1?,"A revenue-sharing model with real project operations."
What is B2?,"Ownership of a warehouse unit (e.g., 2,500 sqft) with guaranteed leaseback or operational income."
Does NOVA CONSULTING handle immigration cases?,"No. NOVA CONSULTING provides corporate and business services only. We coordinate with licensed U.S. immigration attorneys if legal services are required."
How is client data protected?,"We use encryption, strict access control, and minimal data retention."
Do you use cookies or analytics?,"Yes. We use cookies and Google Analytics. Clients can manage preferences through the cookie banner."
What are your support hours?,"Monday to Friday, 9:00–18:00 CST."
What is your contact information?,"Email: support@novarccorp.com | Phone: +1 346-846-9666 | Address: 800 Wilcrest Dr, Suite 104, Houston, TX 77042, USA."
